Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
1679,619139,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package III from Km 9.700 to Km 14.185,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2023,11/2023,,05/2026,-,1299.36,1299.36,123.13,15.0,Roads & Highways
1680,619161,Access Controlled Highway of 4 Lane with Paved Shoulders from Tiruvallur Design Chainage Km 1756 to TN/AP Broder Design Chainage Km 6151 of NH-716 Chennai- Tirupati Package-1,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2024,12/2024,,12/2026,-,1376.1,1247.7,133.95,28.0,Roads & Highways
1681,619222,"Balance works of four lane from km 43.950 Thiruvallur Bypass to km 61.470 Veppampattu Bypass passing through Thannerkulam, Thozur and Sevapet Bypass 17.520 kms of Tirupathi- Tiruttani- Chennai section of NH 205",(National Highways Authority of India [NHAI]),Tamil Nadu,03/2022,09/2022,,09/2024,02/2025,467.99,699.68,443.83,97.0,Roads & Highways
1682,617913,6-laning of km 9.900 to km 19/948 Aramgarh to Shamshabad Section of Hyderabad- Bangalore section of NH-44 Under NHO EPC basis in the state of Telangana,(MoRTH),Telangana,01/2018,05/2018,,05/2020,07/2021,283.15,300.7,252.28,92.0,Roads & Highways
1683,617936,Widening to two/four lane with paved shoulder from Km.180.600 to Km.223.000 of NH-63 on Nizamabad-Jagadalpur road on EPC mode under NHO in the state of Telangana.,(MoRTH),Telangana,10/2016,03/2017,,03/2019,-,253.99,183.26,0.0,100.0,Roads & Highways
1684,617939,6-Laning of Pune-Hyderabad Section of NH-65 from Km 493/0 to Km 524/0 from Sangareddy X Roads to Madinaguda in the State of Telangana,(MoRTH),Telangana,03/2023,07/2024,,07/2026,-,1297.75,1297.75,0.0,34.0,Roads & Highways
1685,617980,Construction of six lane elevated corridor from km 7.950 Uppal to km 14.200 of NH- 163 to De-Congest the urban limits of Hyderabad-Bhoopalapatnam section on EPC mode in the state of Telangana,(MoRTH),Telangana,03/2018,07/2018,,07/2020,04/2026,626.76,626.76,15.3,50.0,Roads & Highways
1686,617981,Widening to Two with Paved shoulders from Km 59.500 to Km 132.033 of Manneguda- Ravunapally section of NH-163 Erstwhile SH-4 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,(MoRTH),Telangana,03/2017,05/2017,,05/2019,-,359.0,359.0,0.0,99.0,Roads & Highways
1687,617982,Widening and strengthening of existing 2-lane to 2- lane with paved shoulders from km 159/0 to 165/4 and 186/0 to 215/0 of NH-163 on EPC mode int the state of Telangana,(MoRTH),Telangana,01/2018,06/2018,,11/2019,12/2020,230.03,230.03,0.0,0.0,Roads & Highways
1688,617983,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,(MoRTH),Telangana,03/2021,07/2022,,07/2024,04/2025,317.19,300.56,168.8,82.0,Roads & Highways
1689,617992,Rehabilitation & upgradation of NH - 167 from design km 187.723 to 234.434 Miryalaguda to Kodad section to two lane with paved shoulder on EPC mode in the state of Telangana,(MoRTH),Telangana,03/2018,09/2018,,09/2020,-,322.81,322.81,43.78,98.0,Roads & Highways
1690,617993,Rehabilitation and upgradation of NH-167 from design km 157.707 to 187.723 design length 30.016 km to two lane with paved shoulders of Alinagar-Miryalaguda Sec on EPC mode in the state of Telangana,(MoRTH),Telangana,02/2018,05/2018,,11/2019,-,220.28,220.28,0.0,97.0,Roads & Highways
1691,617995,Widening to Two Lane with Paved Shoulders from Km 67.000 to Km 114.425 of Kalwakurthy- Mallapally Section of NH 167 Erstwhile section of SH 18 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,(MoRTH),Telangana,01/2017,05/2017,,05/2019,07/2021,300.0,300.0,0.0,99.0,Roads & Highways
1692,617996,Widening to 2/4 Lane with paved shoulders from Km 182.120 to Km 227.600 of NH 167 on Haggari-Jadcherla Road on EPC mode under NHO in the state of Telangana,(MoRTH),Telangana,10/2016,02/2017,,02/2019,07/2023,298.0,298.0,228.09,95.0,Roads & Highways
1693,618001,"Construction of 4-lane flyover at Amberpet-X road, Hyderabad on NH-202 in the State of Telangana",(MoRTH),Telangana,05/2018,06/2021,,06/2023,04/2024,216.53,265.88,152.77,92.0,Roads & Highways
1694,618025,Rehabiitation and upgradation from km 121/000 to 154/000 Nakrekal to Mallampally section of NH-365 to 2 lane with paved shoulders in the state of Telangana in the EPC mode,(MoRTH),Telangana,03/2018,06/2018,,12/2019,-,192.67,192.67,0.0,96.0,Roads & Highways
1695,618026,Rehabilitation and upgradation to two lane with paved shoulders from Km 0/000 to 72/6 of NH-365 Nakrekal to Tanamcherla section under NHDP IV in the state of Telangana under EPC mode,(MoRTH),Telangana,06/2017,11/2017,,10/2019,-,605.08,605.08,0.0,99.0,Roads & Highways
1696,618091,Widening to two lane with paved shoulders from Km 0/000 to Km 45/946 of Nizampet- Narayankhed-bidar section of NH-161B in the state of Telangana under Annual Plan 2021-22 on EPC mode under NHO,(MoRTH),Telangana,03/2022,02/2024,,02/2026,-,512.98,512.98,117.19,40.0,Roads & Highways
1697,618104,Widening to two lane with paved shoulders from Km 0/000 to Km 79/300 of Kalwakurthy - Kollapur section of NH-167K in the state of Telangana under annual plan 2021-22 on EPC mode under NHO.,(MoRTH),Telangana,03/2022,07/2023,,07/2025,-,886.69,886.69,573.13,78.0,Roads & Highways
1698,618105,Widening and strengthening to 4 lane / 2-lane with paved shoulders of Mahabubnagar - Chincholi section from km 60/255 to Km 102/834 of NH-167N in the State of Telangana on EPC mode.,(MoRTH),Telangana,03/2022,10/2023,,10/2025,-,631.49,631.49,71.91,30.0,Roads & Highways
1699,618106,Widening and Strengthening to 2/4 lane with paved shoulders of Mahabubnagar Chincholi section from Km 0/0 to Km 60/255 of NH-167N in the state of Telangana under Annual plan 2021-22 on EPC modepackage-I under NHO Job No.167N-TS- 2021-22-75,(MoRTH),Telangana,01/2022,01/2023,,01/2025,-,703.68,703.68,252.32,90.0,Roads & Highways
1700,618130,Widening to 2 lane with paved shoulders from 0.00 to 32.970 ofAdilabadto Bela section of NH 353B in the State of Telangana,(MoRTH),Telangana,10/2022,05/2024,,05/2026,-,490.92,490.92,0.0,72.0,Roads & Highways
1701,618132,Widening & strengthening of existing carriageway in 2 lane with paved shoulders from km 25/0 to 59/2 design Ch km 25.467 to 59.200 of NH - 353C on EPC mode in the state of Telangana,(MoRTH),Telangana,02/2018,06/2018,,06/2020,-,206.13,206.13,152.77,98.0,Roads & Highways
1702,618140,Widening to two/four lane with paved shoulders from Km.34.250 to Km.71.830 of NH- 365A on Kodad-Khammam-Kurvi road.,(MoRTH),Telangana,10/2022,02/2025,,01/2027,-,445.76,445.76,0.11,6.0,Roads & Highways
1703,618141,Widening and Improvement of existing carriage way to 2 lane with paved shoulders from Km. 86/160 to 131/730 of Jangaon-Duddeda section of NH-365B in the State of Telangana on EPC Mode,(MoRTH),Telangana,01/2022,12/2022,,12/2024,06/2025,423.48,423.48,159.94,75.0,Roads & Highways
1704,618142,Widening to Two lane with Paved shoulders from km.40/410 to 84/037 of Thirumanlagiri-- Suryapet Section of NH-365B earstwhile section of SH-16,(MoRTH),Telangana,01/2017,05/2017,,05/2019,05/2019,244.54,244.54,0.0,99.0,Roads & Highways
1705,618143,widening to two lane with Paved shoulders from Km.0/970 to Km.40/410 of Jangaon - Thirumal giriof NH- 365B in the state of Telanganaon EPC mode under NHO Annual Plan 2016-17,(MoRTH),Telangana,03/2017,11/2017,,10/2019,10/2019,197.0,197.0,0.0,92.0,Roads & Highways
1706,618182,Widening to Two lane with paved shoulders from 106/830 to 158/496 of Yellareddy- Rudrur Section of NH-765D in the state of Telangana on EPC mode under NHO under Annual plan 2022-23,(MoRTH),Telangana,10/2022,07/2024,,07/2026,-,499.88,499.88,160.39,60.0,Roads & Highways
1707,618183,Widening to 2 lane with paved shoulders from Km 62/920 to km 106/830 of Medak - Yellareddy section in the State of Telangana under Annual Plan 2022-23 on EPC mode under NHO,(MoRTH),Telangana,10/2022,08/2024,,08/2026,-,399.01,399.01,0.0,63.0,Roads & Highways
1708,618186,"Rehabilitation and Up-gradation of Valigonda to Thorrur Section to Two Lane with Paved Shoulders from Km 39.180 to Km 108.300 of NH-930P in the State of Telangana on Engineering, Procurement and Construction EPC Basis",(MoRTH),Telangana,01/2022,12/2022,,12/2024,04/2025,549.28,549.28,296.89,82.0,Roads & Highways
1709,618190,Widening to two lane with paved shoulders of 'Bodhan Basar Bhainsa ' section from Km 38/900 to 95/300 of NH-161BB in the state of Telangana under Annual Plan 2021- 22 on EPC Mode under NH O.,(MoRTH),Telangana,03/2022,03/2023,,03/2025,-,644.45,644.45,348.93,98.0,Roads & Highways
1710,618196,Widening to 2 lane with Paved Shoulders of Siddipet-Elkathurthy section from Km 69/978 to km 133/619 of NH-765DG in the State of Telangana under Annual plan 2021-22 on EPC mode,(MoRTH),Telangana,01/2022,12/2022,,12/2024,01/2025,578.85,578.85,0.0,85.0,Roads & Highways
1711,618197,Widening to 2 lane with Paved Shoulders of Medak - Siddipet section from Km 0/0 to km 69/978 of NH-765DG in the State of Telangana under Annual plan 2021-22 on EPC mode,(MoRTH),Telangana,01/2022,01/2023,,01/2025,07/2025,882.18,882.18,347.42,73.0,Roads & Highways
1712,618558,Improvement of Geometrics of Kalkallu to Gundla Pochanpalli from Km 454.00 to Km 471.00 of NH-44,(National Highways Authority of India [NHAI]),Telangana,03/2022,01/2023,,01/2025,07/2026,955.49,903.17,427.43,35.0,Roads & Highways
1713,618559,6L of existing 4L from Gundlapochampally to Bowenpally from km 471.300 to km 481.331 of NH-44,(National Highways Authority of India [NHAI]),Telangana,12/2021,08/2022,,07/2024,04/2026,521.53,528.21,256.53,50.0,Roads & Highways
1714,618560,Improvement of Geometrics of Thondupally to Kothur from Km 22.300 to Km 34.14 of NH-44,(National Highways Authority of India [NHAI]),Telangana,03/2022,03/2023,,09/2024,-,541.58,527.43,72.23,17.0,Roads & Highways
1715,618746,Khammam-Devarapalle Pkg I [4L Access Controlled Greenfield from Thallampadu village to Somavaram village Design Chainage 0000 to 33604],(National Highways Authority of India [NHAI]),Telangana,01/2021,10/2022,,10/2024,01/2026,797.36,1337.18,570.71,92.0,Roads & Highways
1716,618765,4L of Karimnagar-Warangal section from km 49.500 to km 117.820 of NH-563,(National Highways Authority of India [NHAI]),Telangana,03/2022,07/2023,,07/2025,12/2025,2146.86,2486.51,857.65,89.0,Roads & Highways
1717,618811,4L Access Controlled Greenfield Highway Section Mancherial Warangal from Pangidipalle village at Design Ch. 72.350 Km to Oorugonda village at Design Ch. 112.240 KmPackage-III,(National Highways Authority of India [NHAI]),Telangana,03/2023,06/2025,,06/2027,-,1183.71,1170.64,83.68,0.0,Roads & Highways
1718,618812,4L Access Controlled Greenfield Section Mancherial Warangal from Puttapaka village at Design Ch. 35.300 Km to Pangidipalle village at Design Ch. 72.350 KmPackage-II,(National Highways Authority of India [NHAI]),Telangana,01/2023,06/2025,,06/2027,-,1129.33,1145.41,31.41,2.0,Roads & Highways
1719,618813,4L Access Controlled Greenfield Section Mancherial Warangal from Narva village at Design Ch. 3.834 Km to Puttapaka village at Design Ch. 35.300 Km Package-I,(National Highways Authority of India [NHAI]),Telangana,03/2023,12/2024,,12/2026,-,1127.9,1104.27,66.79,5.0,Roads & Highways
1720,618814,4L Access Controlled Greenfield Highway section on NH163G Warangal-Khammam from Oorugonda village in Hanamkonda District at Design Ch. 112.240 Km to Venkatpur village in Warangal District at Design Ch. 150.240 KmPackage-I,(National Highways Authority of India [NHAI]),Telangana,03/2023,06/2025,,06/2027,-,1142.6,1140.82,64.38,0.0,Roads & Highways
1721,618815,4L Access Controlled Greenfield Highway section on NH-163G Warangal-Khammam from Venkatpur village in Warangal District at Design Ch. 150.240 Km to Thallasenkesa village in Mahabubabed District at Design Ch. 189.650 kmPackage-II,(National Highways Authority of India [NHAI]),Telangana,03/2023,04/2024,,04/2026,04/2026,1092.88,1083.11,261.74,59.0,Roads & Highways
1722,618816,4L Access Controlled Greenfield Highway section on NH-163G Warangal-Khammam from Thallasenkesa village at Design Ch. 189.650 km to V.Vekatayapalem village in Khammam District at Design Ch. 220.480 KmPackage-III,(National Highways Authority of India [NHAI]),Telangana,03/2023,07/2025,,07/2027,-,1105.25,1098.05,72.08,2.0,Roads & Highways
1723,618817,4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada from V. Venkatayapalem village at Design Ch. 220.480 Km to BrahmanapalliK village at Design Ch. 250.400 Km Package-I.,(National Highways Authority of India [NHAI]),Telangana,03/2023,07/2024,,03/2027,-,973.45,1021.96,138.15,21.0,Roads & Highways
1724,618944,Hyderabad - Maneguda,(National Highways Authority of India [NHAI]),Telangana,10/2021,11/2024,,11/2026,-,958.86,1218.49,142.89,10.0,Roads & Highways
1725,618945,4L of Kodad Design Km 0.00/Existing Km 185.00 of NH-65 to Khammam Design Km 31.800/Existing Km 29.400 of NH-365A,(National Highways Authority of India [NHAI]),Telangana,01/2021,01/2022,,05/2024,05/2025,1149.17,1606.99,751.33,99.0,Roads & Highways
1726,619128,Khammam-Devarapalle Pkg II [4L Access Controlled Greenfield from Somavaram village to Chintagudem village Design Chainage 33604 to 63117],(National Highways Authority of India [NHAI]),Telangana,01/2021,09/2022,,09/2024,11/2025,615.78,981.64,363.74,98.0,Roads & Highways
1727,619165,Thanamcherla-Jamandlapally 2LPS,(National Highways Authority of India [NHAI]),Telangana,,03/2014,,02/2023,-,177.18,18.65,3.61,100.0,Roads & Highways
1728,619193,Rehabilitation and upgradation of NH-221 from km 121/0 to 165/0 Rudrampur to Bhadrachalam section to two lane with paved shoulder under NHDPIV in the state of Telangana through EPC mode,(MoRTH),Telangana,01/2015,02/2015,,02/2017,07/2020,295.47,334.82,173.64,82.0,Roads & Highways
1729,618350,Improvement & widening of existing NH-08 to 4-lane with Paved Shoulder from Champak Nagar to Khayerpur section design Km 242500 to Km 261610 in the state of Tripura on EPC basis under NHO-NE,(NHIDCL),Tripura,12/2023,09/2024,,09/2026,-,920.66,920.66,0.0,41.0,Roads & Highways
1730,618367,Improvement and Widening to 2-lane with paved shoulder of road from design Km 72.000 Pati Chhari to design Km 107.654 Harina Total length 35.654 Km on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-4,(NHIDCL),Tripura,01/2024,12/2024,,12/2026,-,726.9,726.9,179.61,6.0,Roads & Highways
1731,618368,Improvement and Widening to 2-lane with paved shoulder of road from design Km 36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-3,(NHIDCL),Tripura,01/2024,09/2024,,09/2026,-,670.9,670.9,0.0,10.0,Roads & Highways
1732,618369,Improvement and Widening to 2-lane with paved shoulder of road from existing Km 438.170 Khowai Chowmuhani to existing Km 439.410 South Pulinpur of NH-08 and from design Km 0.000 South Pulinpur to design Km 36.00 near Rangamati of NH 208 on Khowai Teliamura- Harina section Total length 37.24 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-2,(NHIDCL),Tripura,01/2024,09/2024,,09/2026,-,657.21,657.21,0.0,50.0,Roads & Highways
1733,618370,Improvement and Widening to 2-lane with paved shoulder of road from Km 101.300 to km 127.319 Total Length 26.019 Km i.e. the Khowai Teliamura-Amarpur-Harina- Sabroom section of NH 208 in the state of Tripura on EPC under JICA ODA Loan Phase VI Package-1,(NHIDCL),Tripura,01/2024,07/2024,,07/2026,-,431.78,431.78,0.0,47.0,Roads & Highways
1734,618385,Rehabilitation and up-gradation of road from design km 25.250 to km 36.460 Total lengh 11.210 km of Kailashahar-Kurti Bridge section on NH-208A to 2-lane with paved shoulder on EPC basis under NHO Package-III- Balance Work,(NHIDCL),Tripura,02/2020,09/2024,,09/2025,-,174.43,174.43,0.0,0.0,Roads & Highways
1735,618386,Rehabilitation & Upgradation of Road from Km 0.00 to Km 18.600 Total length-18.600 km of Kumarghat-Kailashahar section on NH-208 to 2-lane with Paved shoulder on EPC bais under NHO,(NHIDCL),Tripura,02/2020,07/2020,,01/2022,10/2024,277.5,302.03,0.0,0.0,Roads & Highways
1736,618411,Melaghar-Srimantapur section on NH-08 Spur from Km 23 to Km 34.500 11.5 Km and overlay from Km 20.30 to Km 22.00 1.7 Km Total Length 13.2 Km,(NHIDCL),Tripura,01/2023,05/2023,,11/2024,11/2025,195.95,195.95,75.38,65.0,Roads & Highways
1737,618417,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length 25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the state of Tripura on EPC basis under NHO-NE",(NHIDCL),Tripura,03/2023,03/2024,,03/2027,-,2026.05,2026.05,0.0,0.0,Roads & Highways
1738,617957,Construction of Jasra Bypass with four lane paved shoulder configurationfrom Km 379.670 on NH-76New NH-35 to Km 18.00 on NH-27New NH-30 on EPC in the State of Uttar Pradesh.,(MoRTH),Uttar Pradesh,02/2023,03/2024,,09/2025,-,274.06,274.06,0.0,91.0,Roads & Highways
1739,617963,Rehabilitation and upgradation to four lane road from km 70.500 to km 78.600 of NH- 92 under EPC mode in the State of Uttar Pradesh,(MoRTH),Uttar Pradesh,01/2022,01/2025,,01/2027,-,296.02,351.78,0.0,25.0,Roads & Highways
1740,617964,"Widening to Four Lane rigid pavement configuration from Km 90.00 to Km 100.800 on NH-96 Km 42.0 to Km 53.300 as per new NH-330,design length of 11.300 km under EPC mode in the state of Uttar Pradesh.",(MoRTH),Uttar Pradesh,12/2022,11/2024,,11/2026,-,309.63,309.63,24.81,22.0,Roads & Highways
1741,618008,"Construction of four-lane elevated viaduct from km.4634 to km.6345 on NH-24A including Retaining wall, service lane, at grade road and improvement of junctions, on EPC mode",(MoRTH),Uttar Pradesh,03/2021,03/2022,,09/2023,03/2024,185.09,269.81,158.8,100.0,Roads & Highways
1742,618009,Balance work of Construction of Ring Road for Raebareli City on eastern side of NH- 24B Phase-1 on EPC mode.,(MoRTH),Uttar Pradesh,12/2019,10/2020,,04/2022,07/2022,319.96,347.8,0.0,94.0,Roads & Highways
1743,618054,Construction of Balrampur bypass with 2L flexible pavement configuration from km.223.000 of NH-330 to km.328.300 of NH-730 under EPC mode,(MoRTH),Uttar Pradesh,12/2022,08/2024,,02/2026,-,515.69,515.69,96.46,44.0,Roads & Highways
1762,618165,Construction of 4-lane highway with paved shoulders from Km 49.155 to Km 74.700 of NH-731A on Hybrid Annuity Mode in the state of Uttar Pradesh,(MoRTH),Uttar Pradesh,01/2022,02/2024,,01/2026,-,1156.72,1156.72,0.0,92.0,Roads & Highways
1763,618166,Construction of 4-lane green field highway from Km. 35.000 to Km. 49.155 of NH- 731A with paved shoulders on Hybrid Annuity Mode in the state of Uttar Pradesh,(MoRTH),Uttar Pradesh,01/2022,10/2023,,10/2025,-,697.66,697.66,0.04,99.0,Roads & Highways
